instagram_handle,categoria,tema,severidade,resumo,fonte_url,data_ref,confianca
julia_ferrari,POLITICA,Nenhuma evidência,baixa,"Busca não retornou filiação partidária nem candidatura deste creator.",,2026,busca
joaovitormello,POLITICA,Nenhuma evidência,baixa,"Busca não retornou filiação partidária nem candidatura deste creator.",,2026,busca
rufislore,POLITICA,Nenhuma evidência,baixa,"Sem fonte pública de filiação partidária nas consultas.",,2026,busca
barbaracoura,POLITICA,Nenhuma evidência,baixa,"Sem filiação partidária identificada nas fontes consultadas.",,2026,busca
barbaracoura,APOSTA_LOTERIA,Conteúdo humor (tema apostas),baixa,"Esquetes 'tia que aposta' / sátira — não é publi de casa de apostas; pode gerar ruído semântico em campanha institucional.",https://coletiva.net/,2026,media
raphaelvicente,POLITICA,Nenhuma evidência,baixa,"Sem filiação partidária identificada nas fontes consultadas.",,2026,busca
raphaelvicente,POLEMICA,Segurança pública / comunidade,baixa,"Relato público sobre operação policial no Complexo da Maré e revista em domicílio (matéria Estadão).",https://www.estadao.com.br/emais/gente/influencer-diz-que-casa-foi-invadida-em-operacao-policial-na-mare-muito-indignado-nprec/,2023,media
rafaelsaraiva28,POLITICA,Posicionamento ideológico,media,"Declaração na imprensa sobre não produzir conteúdo associado à 'extrema-direita' (entrevista Veja).",https://veja.abril.com.br/coluna/veja-gente/nao-quero-me-tornar-comediante-da-extrema-direita-diz-rafael-saraiva/,s.d.,media
rafaelsaraiva28,POLEMICA,Sociedade / segurança,baixa,"Relato público de múltiplos assaltos (entretenimento).",https://heloisatolipan.com.br/tv/rafael-saraiva-do-porta-dos-fundos-fala-sobre-critica-a-nova-novela-das-6-e-de-ter-sido-vitima-de-11-assaltos/,s.d.,media
pedroottoni_,POLITICA,Nenhuma evidência,baixa,"Nota: 'Otoni' filiado ao PSD em notícias de 2026 refere-se a Otoni de Paula (político), não ao ator Pedro Ottoni.",https://www1.folha.uol.com.br/colunas/painel/2026/03/otoni-se-filia-ao-psd-e-diz-que-vai-ajudar-caiado-chegar-aos-evangelicos.shtml,2026,alta
ademara,POLITICA,Encontro com governo,media,"Participação em evento com presidente Lula e influenciadores (2023); não equivale a filiação partidária.",https://www.uol.com.br/universa/noticias/redacao/2023/02/24/influenciadora-ademara-sobre-encontro-com-lula-nao-foi-viagem-de-ferias.htm,2023,alta
ademara,ASSOCIACAO,Política / institucional,media,"Proximidade reputacional com agenda de governo (foto/opinião) — avaliar sensibilidade do cliente.",https://www.poder360.com.br/governo/lula-discute-mobilizacao-da-sociedade-digital-com-influenciadores/,2023,media
raphaelvicente,ASSOCIACAO,Marcas diversas,baixa,"Lista de marcas em matérias de marketing (ver parcerias_marcas).",https://www.meioemensagem.com.br/eventoproxxima/raphael-vicente-e-a-a-receita-da-publi-perfeita,,media
